Nom_Prénom;Département;Poste
Romain LE GRAND;PRODUCTION;Producteur
Vivien ASLANIAN;PRODUCTION;Producteur
Jean DUPONT;RÉGIE;Régisseur Général
Marie MARTIN;PRODUCTION;Directrice de Production
Pierre BERNARD;MACHINERIE;Chef Machiniste
Sophie DUBOIS;MACHINERIE;Machiniste
Luc THOMAS;ÉLECTRICITÉ;Chef Électricien
Emma PETIT;ÉLECTRICITÉ;Électricienne
Marc ROBERT;DÉCORATION;Chef Décorateur
Julie RICHARD;DÉCORATION;Ensemblier
Paul DURAND;IMAGE;Directeur de la Photographie
Anne LEROY;IMAGE;Premier Assistant Caméra
Claude MOREAU;SON;Chef Opérateur Son
Isabelle SIMON;SON;Perchman
François LAURENT;RÉGIE;Assistant Régie
Nathalie MICHEL;PRODUCTION;Comptable
